Precinct 2020,Registered Voters Ballots Cast Voter Turnout 2020,Ballots Cast 2020,Voter 2020,Precinct 2016,Registered Voters Ballots Cast Voter Turnout 2016,Ballots Cast 2016,Voter 2016
SCOTT WARD 5 DIST 1,616,507,82.31%,SCOTT WARD 5 DIST 1,590,439,74.41%
SCOTT WARD 5 DIST 2,740,635,85.81%,SCOTT WARD 5 DIST 2,746,589,78.95%
SCOTT WARD 6 DIST 1,686,546,79.59%,SCOTT WARD 6 DIST 1,695,490,70.50%
SCOTT WARD 6 DIST 2,820,686,83.66%,SCOTT WARD 6 DIST 2,781,601,76.95%
SCOTT WARD 7 DIST 1,892,739,82.85%,SCOTT WARD 7 DIST 1,903,676,74.86%
SCOTT WARD 7 DIST 2,638,557,87.30%,SCOTT WARD 7 DIST 2,635,512,80.63%
SCOTT WARD 8 DIST 1,531,476,89.64%,SCOTT WARD 8 DIST 1,522,417,79.89%
SCOTT WARD 8 DIST 2,1076,883,82.06%,SCOTT WARD 8 DIST 2,1018,794,78.00%
SCOTT WARD 9 DIST 1,297,205,69.02%,SCOTT WARD 9 DIST 1,313,200,63.90%
SCOTT WARD 9 DIST 2,333,258,77.48%,SCOTT WARD 9 DIST 2,350,266,76.00%
SEWICKLEY WARD 1,999,801,80.18%,SEWICKLEY WARD 1,945,698,73.86%
SEWICKLEY WARD 2 DIST 1,531,416,78.34%,SEWICKLEY WARD 2 DIST 1,500,355,71.00%
SEWICKLEY WARD 2 DIST 2,591,460,77.83%,SEWICKLEY WARD 2 DIST 2,606,431,71.12%
SEWICKLEY WARD 3,1047,837,79.94%,SEWICKLEY WARD 3,998,725,72.65%
SEWICKLEY HTS,792,633,79.92%,SEWICKLEY HTS,764,562,73.56%
SEWICKLEY HILLS,555,476,85.77%,SEWICKLEY HILLS,525,419,79.81%
SHALER WARD 1 DIST 1,534,473,88.58%,SHALER WARD 1 DIST 1,489,395,80.78%
SHALER WARD 1 DIST 2,530,429,80.94%,SHALER WARD 1 DIST 2,498,368,73.90%
SHALER WARD 1 DIST 3,595,485,81.51%,SHALER WARD 1 DIST 3,605,426,70.41%
SHALER WARD 1 DIST 4,620,549,88.55%,SHALER WARD 1 DIST 4,590,480,81.36%
SHALER WARD 1 DIST 5,665,542,81.50%,SHALER WARD 1 DIST 5,661,473,71.56%
SHALER WARD 2 DIST 1,1065,912,85.63%,SHALER WARD 2 DIST 1,1053,854,81.10%
SHALER WARD 2 DIST 2,774,681,87.98%,SHALER WARD 2 DIST 2,750,597,79.60%
SHALER WARD 2 DIST 3,610,502,82.30%,SHALER WARD 2 DIST 3,580,439,75.69%
SHALER WARD 2 DIST 4,791,700,88.50%,SHALER WARD 2 DIST 4,757,621,82.03%
SHALER WARD 2 DIST 5,364,306,84.07%,SHALER WARD 2 DIST 5,373,302,80.97%
SHALER WARD 3 DIST 1,602,521,86.54%,SHALER WARD 3 DIST 1,588,486,82.65%
SHALER WARD 3 DIST 2,617,515,83.47%,SHALER WARD 3 DIST 2,596,476,79.87%
SHALER WARD 3 DIST 3,601,514,85.52%,SHALER WARD 3 DIST 3,594,498,83.84%
SHALER WARD 3 DIST 4,718,640,89.14%,SHALER WARD 3 DIST 4,710,576,81.13%
SHALER WARD 3 DIST 5,687,601,87.48%,SHALER WARD 3 DIST 5,684,565,82.60%
SHALER WARD 4 DIST 1,845,735,86.98%,SHALER WARD 4 DIST 1,829,671,80.94%
SHALER WARD 4 DIST 2,449,378,84.19%,SHALER WARD 4 DIST 2,468,343,73.29%
SHALER WARD 4 DIST 3,680,590,86.76%,SHALER WARD 4 DIST 3,651,541,83.10%
SHALER WARD 4 DIST 4,662,572,86.40%,SHALER WARD 4 DIST 4,658,538,81.76%
SHALER WARD 4 DIST 5,533,442,82.93%,SHALER WARD 4 DIST 5,516,390,75.58%
SHALER WARD 5 DIST 1,745,641,86.04%,SHALER WARD 5 DIST 1,716,587,81.98%
SHALER WARD 5 DIST 2,693,593,85.57%,SHALER WARD 5 DIST 2,676,589,87.13%
SHALER WARD 5 DIST 3,553,496,89.69%,SHALER WARD 5 DIST 3,532,439,82.52%
SHALER WARD 5 DIST 4,358,316,88.27%,SHALER WARD 5 DIST 4,352,284,80.68%
SHALER WARD 5 DIST 5,787,668,84.88%,SHALER WARD 5 DIST 5,766,586,76.50%
SHALER WARD 6 DIST 1,645,552,85.58%,SHALER WARD 6 DIST 1,624,494,79.17%
SHALER WARD 6 DIST 2,715,606,84.76%,SHALER WARD 6 DIST 2,675,537,79.56%
SHALER WARD 6 DIST 3,559,493,88.19%,SHALER WARD 6 DIST 3,544,436,80.15%
SHALER WARD 6 DIST 4,340,312,91.76%,SHALER WARD 6 DIST 4,333,266,79.88%
SHALER WARD 6 DIST 5,545,477,87.52%,SHALER WARD 6 DIST 5,550,452,82.18%
SHALER WARD 7 DIST 1,608,518,85.20%,SHALER WARD 7 DIST 1,587,437,74.45%
SHALER WARD 7 DIST 2,796,666,83.67%,SHALER WARD 7 DIST 2,791,614,77.62%
SHALER WARD 7 DIST 3,664,541,81.48%,SHALER WARD 7 DIST 3,636,460,72.33%
SHALER WARD 7 DIST 4,1036,873,84.27%,SHALER WARD 7 DIST 4,1013,791,78.08%
SHARPSBURG DIST 1,621,427,68.76%,SHARPSBURG DIST 1,577,346,59.97%
SHARPSBURG DIST 2,854,584,68.38%,SHARPSBURG DIST 2,794,503,63.35%
SHARPSBURG DIST 3,845,644,76.21%,SHARPSBURG DIST 3,853,553,64.83%
S FAYETTE DIST 1,589,516,87.61%,S FAYETTE DIST 1,558,472,84.59%
S FAYETTE DIST 2,1143,969,84.78%,S FAYETTE DIST 2,1078,861,79.87%
S FAYETTE DIST 3,1792,1536,85.71%,S FAYETTE DIST 3,1432,1125,78.56%
S FAYETTE DIST 4,874,721,82.49%,S FAYETTE DIST 4,852,642,75.35%
S FAYETTE DIST 5,910,773,84.95%,S FAYETTE DIST 5,830,630,75.90%
S FAYETTE DIST 6,1243,1003,80.69%,S FAYETTE DIST 6,1188,885,74.49%
S FAYETTE DIST 7,679,567,83.51%,S FAYETTE DIST 7,627,471,75.12%
S FAYETTE DIST 8,1577,1391,88.21%,S FAYETTE DIST 8,1480,1187,80.20%
S FAYETTE DIST 9,691,478,69.18%,S FAYETTE DIST 9,651,436,66.97%
S FAYETTE DIST 10,792,663,83.71%,S FAYETTE DIST 10,787,577,73.32%
S FAYETTE DIST 11,1066,878,82.36%,S FAYETTE DIST 11,919,711,77.37%
S FAYETTE DIST 12,680,567,83.38%,S FAYETTE DIST 12,485,325,67.01%
SOUTH PARK DIST 1,775,672,86.71%,SOUTH PARK DIST 1,726,587,80.85%
SOUTH PARK DIST 2,800,656,82.00%,SOUTH PARK DIST 2,761,590,77.53%
SOUTH PARK DIST 3,674,564,83.68%,SOUTH PARK DIST 3,606,477,78.71%
SOUTH PARK DIST 4,582,465,79.90%,SOUTH PARK DIST 4,466,326,69.96%
SOUTH PARK DIST 5,766,660,86.16%,SOUTH PARK DIST 5,746,590,79.09%
SOUTH PARK DIST 6,928,731,78.77%,SOUTH PARK DIST 6,861,662,76.89%
SOUTH PARK DIST 7,1115,943,84.57%,SOUTH PARK DIST 7,1101,856,77.75%
SOUTH PARK DIST 8,528,459,86.93%,SOUTH PARK DIST 8,512,434,84.77%
SOUTH PARK DIST 9,839,684,81.53%,SOUTH PARK DIST 9,807,615,76.21%
SOUTH PARK DIST 10,887,761,85.79%,SOUTH PARK DIST 10,844,672,79.62%
SOUTH PARK DIST 11,585,464,79.32%,SOUTH PARK DIST 11,596,430,72.15%
SOUTH PARK DIST 12,603,516,85.57%,SOUTH PARK DIST 12,569,427,75.04%
SOUTH PARK DIST 13,1074,941,87.62%,SOUTH PARK DIST 13,1001,806,80.52%
S VERSAILLES,215,191,88.84%,S VERSAILLES,209,158,75.60%
SPRINGDAL BR DIST 1,699,537,76.82%,SPRINGDAL BR DIST 1,696,501,71.98%
SPRINGDAL BR DIST 2,619,526,84.98%,SPRINGDAL BR DIST 2,593,445,75.04%
SPRINGDAL BR DIST 3,570,439,77.02%,SPRINGDAL BR DIST 3,522,373,71.46%
SPRINGDAL BR DIST 4,485,372,76.70%,SPRINGDAL BR DIST 4,438,321,73.29%
SPRINGDALE TWP,1192,990,83.05%,SPRINGDALE TWP,1161,886,76.31%
STOWE WARD 1,422,287,68.01%,STOWE WARD 1,416,276,66.35%
STOWE WARD 2 DIST 1,180,101,56.11%,STOWE WARD 2 DIST 1,184,97,52.72%
STOWE WARD 2 DIST 2,668,466,69.76%,STOWE WARD 2 DIST 2,695,479,68.92%
STOWE WARD 3,364,232,63.74%,STOWE WARD 3,388,237,61.08%
STOWE WARD 4 DIST 1,340,261,76.76%,STOWE WARD 4 DIST 1,382,234,61.26%
STOWE WARD 4 DIST 2,382,323,84.55%,STOWE WARD 4 DIST 2,367,289,78.75%
STOWE WARD 5,456,283,62.06%,STOWE WARD 5,505,304,60.20%
STOWE WARD 6,437,256,58.58%,STOWE WARD 6,467,264,56.53%
STOWE WARD 7,298,171,57.38%,STOWE WARD 7,295,172,58.31%
STOWE WARD 8,410,204,49.76%,STOWE WARD 8,436,212,48.62%
STOWE WARD 9,303,177,58.42%,STOWE WARD 9,334,181,54.19%
SWISSVALE DIST 1,872,559,64.11%,SWISSVALE DIST 1,910,552,60.66%
SWISSVALE DIST 2,758,515,67.94%,SWISSVALE DIST 2,752,508,67.55%
SWISSVALE DIST 3,662,442,66.77%,SWISSVALE DIST 3,691,419,60.64%
SWISSVALE DIST 4,626,441,70.45%,SWISSVALE DIST 4,631,437,69.26%
SWISSVALE DIST 5,762,580,76.12%,SWISSVALE DIST 5,758,549,72.43%
SWISSVALE DIST 6,399,243,60.90%,SWISSVALE DIST 6,403,253,62.78%
SWISSVALE DIST 7,694,554,79.83%,SWISSVALE DIST 7,663,481,72.55%
SWISSVALE DIST 8,719,508,70.65%,SWISSVALE DIST 8,734,508,69.21%
SWISSVALE DIST 9,680,509,74.85%,SWISSVALE DIST 9,652,478,73.31%
SWISSVALE DIST 10,250,158,63.20%,SWISSVALE DIST 10,233,143,61.37%
SWISSVALE DIST 11,696,577,82.90%,SWISSVALE DIST 11,675,546,80.89%
TARENTUM WARD 1 DIST 1,657,480,73.06%,TARENTUM WARD 1 DIST 1,669,407,60.84%
TARENTUM WARD 1 DIST 2,476,378,79.41%,TARENTUM WARD 1 DIST 2,479,346,72.23%
TARENTUM WARD 2,562,359,63.88%,TARENTUM WARD 2,529,302,57.09%
TARENTUM WARD 3 DIST 1,278,203,73.02%,TARENTUM WARD 3 DIST 1,303,176,58.09%
TARENTUM WARD 3 DIST 2,592,417,70.44%,TARENTUM WARD 3 DIST 2,600,373,62.17%
THORNBURG,421,363,86.22%,THORNBURG,414,336,81.16%
PENNSBURY VILL,592,486,82.09%,PENNSBURY VILL,599,453,75.63%
TRAFFORD,59,48,81.36%,TRAFFORD,46,30,65.22%
TURTLE CREEK WARD 1 DIST 1,841,644,76.58%,TURTLE CREEK WD 1 DIST 1,819,562,68.62%
TURTLE CREEK WARD 1 DIST 2,432,299,69.21%,TURTLE CREEK WD 1 DIST 2,401,277,69.08%
TURTLE CREEK WARD 2 DIST 1,709,458,64.60%,TURTLE CREEK WD 2 DIST 1,675,423,62.67%
TURTLE CREEK WARD 2 DIST 2,325,220,67.69%,TURTLE CREEK WD 2 DIST 2,323,195,60.37%
TURTLE CREEK WARD 3 DIST 1,583,354,60.72%,TURTLE CREEK WD 3 DIST 1,622,357,57.40%
TURTLE CREEK WARD 3 DIST 2,479,347,72.44%,TURTLE CREEK WD 3 DIST 2,479,315,65.76%
UP ST CLAIR WARD 1 DIST 1,735,619,84.22%,UP ST CLAIR WARD 1 DIST 1,689,567,82.29%
UP ST CLAIR WARD 1 DIST 2,829,707,85.28%,UP ST CLAIR WARD 1 DIST 2,825,659,79.88%
UP ST CLAIR WARD 1 DIST 3,1127,1013,89.88%,UP ST CLAIR WARD 1 DIST 3,937,749,79.94%
UP ST CLAIR WARD 1 DIST 4,850,712,83.76%,UP ST CLAIR WARD 1 DIST 4,793,624,78.69%
UP ST CLAIR WARD 2 DIST 1,990,839,84.75%,UP ST CLAIR WARD 2 DIST 1,948,727,76.69%
UP ST CLAIR WARD 2 DIST 2,723,602,83.26%,UP ST CLAIR WARD 2 DIST 2,681,503,73.86%
UP ST CLAIR WARD 2 DIST 3,1034,875,84.62%,UP ST CLAIR WARD 2 DIST 3,1030,802,77.86%
UP ST CLAIR WARD 2 DIST 4,545,463,84.95%,UP ST CLAIR WARD 2 DIST 4,535,420,78.50%
UP ST CLAIR WARD 3 DIST 1,1051,872,82.97%,UP ST CLAIR WARD 3 DIST 1,1024,779,76.07%
UP ST CLAIR WARD 3 DIST 2,862,746,86.54%,UP ST CLAIR WARD 3 DIST 2,860,686,79.77%
UP ST CLAIR WARD 3 DIST 3,1182,984,83.25%,UP ST CLAIR WARD 3 DIST 3,1187,896,75.48%
UP ST CLAIR WARD 4 DIST 1,1017,854,83.97%,UP ST CLAIR WARD 4 DIST 1,975,767,78.67%
UP ST CLAIR WARD 4 DIST 2,792,665,83.96%,UP ST CLAIR WARD 4 DIST 2,772,615,79.66%
UP ST CLAIR WARD 4 DIST 3,622,506,81.35%,UP ST CLAIR WARD 4 DIST 3,613,500,81.57%
UP ST CLAIR WARD 4 DIST 4,1093,880,80.51%,UP ST CLAIR WARD 4 DIST 4,1012,754,74.51%
UP ST CLAIR WARD 5 DIST 1,1332,1140,85.59%,UP ST CLAIR WARD 5 DIST 1,1314,1041,79.22%
UP ST CLAIR WARD 5 DIST 2,840,722,85.95%,UP ST CLAIR WARD 5 DIST 2,800,650,81.25%
UP ST CLAIR WARD 5 DIST 3,884,763,86.31%,UP ST CLAIR WARD 5 DIST 3,860,667,77.56%
VERONA DIST 1,513,357,69.59%,VERONA DIST 1,516,355,68.80%
VERONA DIST 2,597,473,79.23%,VERONA DIST 2,594,423,71.21%
VERONA DIST 3,608,474,77.96%,VERONA DIST 3,613,416,67.86%
VERSAILLES DIST 1,558,415,74.37%,VERSAILLES DIST 1,538,348,64.68%
VERSAILLES DIST 2,453,306,67.55%,VERSAILLES DIST 2,486,303,62.35%
WALL,330,212,64.24%,WALL,314,181,57.64%
WEST DEER DIST 1,1452,1272,87.60%,WEST DEER DIST 1,1351,1089,80.61%
WEST DEER DIST 2,628,531,84.55%,WEST DEER DIST 2,563,438,77.80%
WEST DEER DIST 3,877,708,80.73%,WEST DEER DIST 3,826,628,76.03%
WEST DEER DIST 4,809,702,86.77%,WEST DEER DIST 4,774,632,81.65%
WEST DEER DIST 5,876,741,84.59%,WEST DEER DIST 5,833,619,74.31%
WEST DEER DIST 6,772,674,87.31%,WEST DEER DIST 6,748,602,80.48%
WEST DEER DIST 7,1844,1614,87.53%,WEST DEER DIST 7,1516,1172,77.31%
WEST DEER DIST 8,1546,1337,86.48%,WEST DEER DIST 8,1396,1099,78.72%
W ELIZABETH,267,195,73.03%,W ELIZABETH,282,179,63.48%
W HOMESTEAD DIST 1,454,272,59.91%,W HOMESTEAD DIST 1,487,268,55.03%
W HOMESTEAD DIST 2,459,383,83.44%,W HOMESTEAD DIST 2,455,374,82.20%
W HOMESTEAD DIST 3,527,445,84.44%,W HOMESTEAD DIST 3,526,415,78.90%
WEST MIFFLIN DIST 1,697,556,79.77%,WEST MIFFLIN DIST 1,722,522,72.30%
WEST MIFFLIN DIST 2,482,352,73.03%,WEST MIFFLIN DIST 2,461,317,68.76%
WEST MIFFLIN DIST 3,495,391,78.99%,WEST MIFFLIN DIST 3,463,322,69.55%
WEST MIFFLIN DIST 4,435,147,33.79%,WEST MIFFLIN DIST 4,454,227,50.00%
WEST MIFFLIN DIST 5,829,721,86.97%,WEST MIFFLIN DIST 5,845,664,78.58%
WEST MIFFLIN DIST 6,329,257,78.12%,WEST MIFFLIN DIST 6,320,222,69.38%
WEST MIFFLIN DIST 7,746,609,81.64%,WEST MIFFLIN DIST 7,740,570,77.03%
WEST MIFFLIN DIST 8,569,418,73.46%,WEST MIFFLIN DIST 8,566,380,67.14%
WEST MIFFLIN DIST 9,808,626,77.48%,WEST MIFFLIN DIST 9,774,571,73.77%
WEST MIFFLIN DIST 10,521,431,82.73%,WEST MIFFLIN DIST 10,511,386,75.54%
WEST MIFFLIN DIST 11,795,601,75.60%,WEST MIFFLIN DIST 11,781,566,72.47%
WEST MIFFLIN DIST 12,997,735,73.72%,WEST MIFFLIN DIST 12,1024,723,70.61%
WEST MIFFLIN DIST 13,584,448,76.71%,WEST MIFFLIN DIST 13,592,424,71.62%
WEST MIFFLIN DIST 14,894,753,84.23%,WEST MIFFLIN DIST 14,864,691,79.98%
WEST MIFFLIN DIST 15,606,489,80.69%,WEST MIFFLIN DIST 15,595,427,71.76%
WEST MIFFLIN DIST 16,1202,1040,86.52%,WEST MIFFLIN DIST 16,1204,929,77.16%
WEST MIFFLIN DIST 17,591,506,85.62%,WEST MIFFLIN DIST 17,569,431,75.75%
WEST MIFFLIN DIST 18,833,665,79.83%,WEST MIFFLIN DIST 18,782,587,75.06%
WEST MIFFLIN DIST 19,652,562,86.20%,WEST MIFFLIN DIST 19,660,514,77.88%
WEST MIFFLIN DIST 20,471,415,88.11%,WEST MIFFLIN DIST 20,450,382,84.89%
WEST MIFFLIN DIST 21,684,568,83.04%,WEST MIFFLIN DIST 21,653,496,75.96%
WEST VIEW DIST 1,693,575,82.97%,WEST VIEW DIST 1,702,526,74.93%
WEST VIEW DIST 2,776,602,77.58%,WEST VIEW DIST 2,778,564,72.49%
WEST VIEW DIST 3,604,475,78.64%,WEST VIEW DIST 3,575,421,73.22%
WEST VIEW DIST 4,585,501,85.64%,WEST VIEW DIST 4,580,463,79.83%
WEST VIEW DIST 5,790,652,82.53%,WEST VIEW DIST 5,740,575,77.70%
WEST VIEW DIST 6,719,620,86.23%,WEST VIEW DIST 6,702,550,78.35%
WEST VIEW DIST 7,650,554,85.23%,WEST VIEW DIST 7,645,527,81.71%
WHITAKER DIST 1,433,321,74.13%,WHITAKER DIST 1,426,306,71.83%
WHITAKER DIST 2,360,252,70.00%,WHITAKER DIST 2,399,257,64.41%
WHITEHALL DIST 1,551,488,88.57%,WHITEHALL DIST 1,528,427,80.87%
WHITEHALL DIST 2,598,510,85.28%,WHITEHALL DIST 2,604,477,78.97%
WHITEHALL DIST 3,728,615,84.48%,WHITEHALL DIST 3,660,540,81.82%
WHITEHALL DIST 4,670,581,86.72%,WHITEHALL DIST 4,673,540,80.24%
WHITEHALL DIST 5,720,589,81.81%,WHITEHALL DIST 5,684,529,77.34%
WHITEHALL DIST 6,1125,611,54.31%,WHITEHALL DIST 6,1008,577,57.24%
WHITEHALL DIST 7,451,364,80.71%,WHITEHALL DIST 7,465,342,73.55%
WHITEHALL DIST 8,790,700,88.61%,WHITEHALL DIST 8,790,643,81.39%
WHITEHALL DIST 9,572,503,87.94%,WHITEHALL DIST 9,540,432,80.00%
WHITEHALL DIST 10,638,541,84.80%,WHITEHALL DIST 10,614,481,78.34%
WHITEHALL DIST 11,637,550,86.34%,WHITEHALL DIST 11,627,509,81.18%
WHITEHALL DIST 12,589,509,86.42%,WHITEHALL DIST 12,546,411,75.27%
WHITEHALL DIST 13,497,436,87.73%,WHITEHALL DIST 13,447,359,80.31%
WHITEHALL DIST 14,585,504,86.15%,WHITEHALL DIST 14,576,463,80.38%
WHITEHALL DIST 15,997,860,86.26%,WHITEHALL DIST 15,939,785,83.60%
WHITEHALL DIST 16,619,533,86.11%,WHITEHALL DIST 16,598,487,81.44%
WHITE OAK DIST 1,774,601,77.65%,WHITE OAK DIST 1,742,525,70.75%
WHITE OAK DIST 2,787,621,78.91%,WHITE OAK DIST 2,786,571,72.65%
WHITE OAK DIST 3,904,755,83.52%,WHITE OAK DIST 3,870,663,76.21%
WHITE OAK DIST 4,736,624,84.78%,WHITE OAK DIST 4,751,597,79.49%
WHITE OAK DIST 5,827,686,82.95%,WHITE OAK DIST 5,797,627,78.67%
WHITE OAK DIST 6,749,620,82.78%,WHITE OAK DIST 6,724,550,75.97%
WHITE OAK DIST 7,1122,920,82.00%,WHITE OAK DIST 7,1062,792,74.58%
WILKINS WARD 1 DIST 1,786,589,74.94%,WILKINS WARD 1 DIST 1,784,548,69.90%
WILKINS WARD 1 DIST 2,653,551,84.38%,WILKINS WARD 1 DIST 2,651,531,81.57%
WILKINS WARD 1 DIST 3,854,701,82.08%,WILKINS WARD 1 DIST 3,803,667,83.06%
WILKINS WARD 1 DIST 4,679,576,84.83%,WILKINS WARD 1 DIST 4,629,497,79.01%
WILKINS WARD 1 DIST 5,479,350,73.07%,WILKINS WARD 1 DIST 5,425,299,70.35%
WILKINS WARD 2 DIST 1,651,553,84.95%,WILKINS WARD 2 DIST 1,619,471,76.09%
WILKINS WARD 2 DIST 2,949,723,76.19%,WILKINS WARD 2 DIST 2,907,657,72.44%
WILKINSBURG WARD 1 DIST 1,975,595,61.03%,WILKINSBURG WARD 1 DIST 1,1013,677,66.83%
WILKINSBURG WARD 1 DIST 2,731,422,57.73%,WILKINSBURG WARD 1 DIST 2,765,461,60.26%
WILKINSBURG WARD 1 DIST 3,457,252,55.14%,WILKINSBURG WARD 1 DIST 3,465,289,62.15%
WILKINSBURG WARD 1 DIST 4,606,450,74.26%,WILKINSBURG WARD 1 DIST 4,601,451,75.04%
WILKINSBURG WARD 1 DIST 5,553,416,75.23%,WILKINSBURG WARD 1 DIST 5,531,445,83.80%
WILKINSBURG WARD 1 DIST 6,975,610,62.56%,WILKINSBURG WARD 1 DIST 6,1006,624,62.03%
WILKINSBURG WARD 2 DIST 1,786,485,61.70%,WILKINSBURG WARD 2 DIST 1,823,483,58.69%
WILKINSBURG WARD 2 DIST 2,969,729,75.23%,WILKINSBURG WARD 2 DIST 2,987,765,77.51%
WILKINSBURG WARD 2 DIST 3,795,447,56.23%,WILKINSBURG WARD 2 DIST 3,866,494,57.04%
WILKINSBURG WARD 2 DIST 4,537,258,48.04%,WILKINSBURG WARD 2 DIST 4,532,277,52.07%
WILKINSBURG WARD 2 DIST 5,797,445,55.83%,WILKINSBURG WARD 2 DIST 5,770,452,58.70%
WILKINSBURG WARD 3 DIST 1,758,602,79.42%,WILKINSBURG WARD 3 DIST 1,728,559,76.79%
WILKINSBURG WARD 3 DIST 2,658,469,71.28%,WILKINSBURG WARD 3 DIST 2,661,452,68.38%
WILKINSBURG WARD 3 DIST 3,811,431,53.14%,WILKINSBURG WARD 3 DIST 3,837,517,61.77%
WILKINSBURG WARD 3 DIST 4,1052,711,67.59%,WILKINSBURG WARD 3 DIST 4,1025,714,69.66%
WILKINSBURG WARD 3 DIST 5,1039,636,61.21%,WILKINSBURG WARD 3 DIST 5,1042,594,57.01%
WILKINSBURG WARD 3 DIST 6,545,270,49.54%,WILKINSBURG WARD 3 DIST 6,543,280,51.57%
WILMERDING DIST 1,487,264,54.21%,WILMERDING DIST 1,530,311,58.68%
WILMERDING DIST 2,689,435,63.13%,WILMERDING DIST 2,764,462,60.47%